Request ID,Market,Product,Market Rank,Product Rank
22759,Europe,3,13,7
27039,China,3,13,8
20227,China,3,14,9
30040,US,3,15,10
47234,Europe,3,15,11
45895,Singapore,3,15,12
40331,Europe,3,16,13
20935,China,3,18,14
45929,Europe,3,19,15
46363,US,3,20,16
20160,US,3,21,17
25113,US,3,22,18
44040,Japan,3,23,19
26731,Singapore,3,28,20
42854,China,3,29,21
47429,US,3,30,22
43920,China,3,32,23
32595,Japan,3,33,24
24407,US,3,34,25
26061,Europe,3,34,26
35051,Europe,3,35,27
39693,Europe,3,36,28
43944,US,3,37,29
21650,Europe,3,38,30
32831,Japan,3,38,31
30920,Europe,3,41,32
40807,China,3,41,33
24585,Japan,3,41,34
25844,Japan,3,42,35
36786,Japan,3,44,36
45234,Japan,3,45,37
31246,Japan,3,46,38
42327,Europe,3,52,39
22749,Europe,3,53,40
42658,Japan,3,58,41
21976,Europe,3,59,42
41336,Japan,3,61,43
20041,Europe,3,62,44
37216,Europe,3,63,45
47218,Europe,3,67,46
38821,Japan,3,69,47
37900,Singapore,4,1,1
21581,US,4,2,2
31069,Europe,4,2,3
39741,Europe,4,4,4
36738,China,4,4,5
43978,Japan,4,4,6
49382,Singapore,4,4,7
30114,Europe,4,6,8
40900,Singapore,4,6,9
39407,Europe,4,8,10
46601,US,4,9,11
40551,China,4,10,12
22408,Japan,4,10,13
49088,Europe,4,11,14
35741,Singapore,4,11,15
41101,Japan,4,12,16
22829,US,4,13,17
23664,Japan,4,13,18
47769,Singapore,4,14,19
31911,China,4,19,20
24539,Japan,4,19,21
32010,China,4,20,22
29852,Singapore,4,21,23
39075,China,4,22,24
46936,Japan,4,22,25
20546,Singapore,4,23,26
27391,China,4,24,27
49079,US,4,25,28
45934,Europe,4,25,29
34794,Singapore,4,25,30
43641,US,4,26,31
25001,China,4,26,32
27100,Japan,4,26,33
37354,Europe,4,27,34
42750,Europe,4,29,35
20691,Europe,4,30,36
30767,Japan,4,30,37
32833,US,4,31,38
45336,Europe,4,31,39
43130,Europe,4,32,40
28236,US,4,33,41
38952,China,4,33,42
25347,China,4,34,43
30590,Japan,4,37,44
32870,Japan,4,39,45
34998,Europe,4,43,46
47067,Japan,4,43,47
38071,Europe,4,45,48
39138,Europe,4,47,49
45007,Japan,4,49,50
45923,Japan,4,56,51
26074,Japan,4,57,52
32734,Europe,4,70,53
42652,Europe,4,73,54
33067,Japan,5,1,1
26744,Japan,5,2,2
36050,Singapore,5,3,3
22916,Europe,5,5,4
49828,Europe,5,7,5
44625,Singapore,5,7,6
23267,Japan,5,9,7
46938,Singapore,5,9,8
48012,US,5,10,9
27955,Europe,5,10,10
30656,Singapore,5,10,11
32129,China,5,11,12
34582,Singapore,5,13,13
25635,US,5,14,14
47683,Japan,5,16,15
23904,Singapore,5,16,16
39945,US,5,18,17
29219,Europe,5,18,18
23621,Japan,5,18,19
27118,Japan,5,20,20
32229,Singapore,5,20,21
42029,Japan,5,21,22
34763,Europe,5,22,23
25657,US,5,23,24
35994,US,5,24,25
33002,Europe,5,24,26
40150,Japan,5,24,27
26755,Europe,5,26,28
37779,Singapore,5,27,29
42440,China,5,28,30
33734,Japan,5,28,31
43954,China,5,30,32
32034,Japan,5,31,33
34983,Japan,5,34,34
47553,US,5,36,35
48908,Japan,5,36,36
24184,China,5,38,37
36903,Europe,5,40,38
33778,Europe,5,42,39
49102,Europe,5,44,40
31760,Europe,5,46,41
49939,Japan,5,48,42
24665,Europe,5,49,43
32621,Japan,5,50,44
36659,Japan,5,51,45
46532,Japan,5,55,46
37920,Europe,5,58,47
37523,Japan,5,59,48
20603,Europe,5,61,49
38345,Japan,5,62,50
48867,Europe,5,65,51
25520,Japan,5,66,52
40292,Japan,5,68,53
42954,Europe,5,69,54
48348,Europe,5,71,55
